"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 15 22:08:37 UTC 2025","Sat Nov 15 22:08:37 UTC 2025","726","","br.com.ju.api.ObjectApiTests","","br.com.ju.api.ObjectApiTests","testCreateObject","testCreateObject()","Create an object via POST - should return 201 and object with id"
"passed","Sat Nov 15 22:08:38 UTC 2025","Sat Nov 15 22:08:38 UTC 2025","298","","br.com.ju.api.ObjectApiTests","","br.com.ju.api.ObjectApiTests","testPatchObject","testPatchObject()","Patch object name - should return 200 and updated name"
"passed","Sat Nov 15 22:08:38 UTC 2025","Sat Nov 15 22:08:39 UTC 2025","305","","br.com.ju.api.ObjectApiTests","","br.com.ju.api.ObjectApiTests","testDeleteObject","testDeleteObject()","Delete created object - should return 200/204/202"
"passed","Sat Nov 15 22:08:38 UTC 2025","Sat Nov 15 22:08:38 UTC 2025","300","","br.com.ju.api.ObjectApiTests","","br.com.ju.api.ObjectApiTests","testUpdateObject","testUpdateObject()","Update object with PUT - should return 200 and updated fields"
"passed","Sat Nov 15 22:08:34 UTC 2025","Sat Nov 15 22:08:37 UTC 2025","2335","","br.com.ju.api.ObjectApiTests","","br.com.ju.api.ObjectApiTests","testGetObjects","testGetObjects()","GET list of objects - should return 200 and an array"
"passed","Sat Nov 15 22:08:37 UTC 2025","Sat Nov 15 22:08:38 UTC 2025","358","","br.com.ju.api.ObjectApiTests","","br.com.ju.api.ObjectApiTests","testGetObjectById","testGetObjectById()","Get single object by id - should return 200 and correct id"
